"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"RRP12",1065,2807
"FNIP2",4884,2234
"MSMO1",887,3398
"TTC17",4063,4652
"ALX4",40,250
"FSTL4",2,1079
"FOXN3",13595,1737
"METTL24",30,24
"AKR7A2",2013,2688
"MRTO4",1294,1952
"NNAT",983,53
"USE1",894,951
"MCF2L2",9,38
"NRIP2",397,280
"LAMA3",2291,8410
"AP5M1",1991,2115
"ANAPC4",1286,1917
"KCNQ1",918,408
"TRAPPC3",2460,2591
"THRAP3",8769,11188
"PHPT1",1137,2221
"ENTPD2",46,1351
"LY75",140,461
"ARID4B",2799,5466
"OPN3",127,147
"SDCCAG8",1213,1780
"PTPRN",1,139
"HHAT",247,2369
"KIF1B",7085,3373
"FOXC1",972,455
"TBC1D22A",1834,1609
"SYNE2",13172,7391
"PLEKHH1",132,1804
"ATP9A",19528,5943
"SPO11",0,0
"CBLN4",5,23
"CHRDL2",6,113
"FAM168A",4429,3286
"RELT",182,253
"GALC",2553,1961
"NOP58",1054,2729
"SZRD1",4633,3945
"KCNH2",14,84
"CUL1",3647,3701
"FAM114A2",1462,1167
"CYFIP2",492,1113
"TAB2",6665,5261
"GINM1",3440,2195
"EIF2AK2",4334,2849
"USP36",3163,3660
"KMT2C",8276,7761
"MCOLN3",442,149
"CCDC85A",449,21
"PUM2",7631,8056
"MRPL43",1406,1979
"ITIH4",10,25
"ITIH1",5,1
"HPF1",855,542
"ZFR",7148,5268
"ZNF280C",173,296
"NPFFR2",2,82
"PHF21B",4,97
"TRAF1",424,913
"RC3H2",3778,2125
"IL17RB",103,1248
"TRAF3IP2",2003,2028
"GYG2",23510,617
"DCBLD2",3545,1418
"SERPINB3",0,16
"SOAT1",2394,1114
"PKP2",114,2200
"MSH4",16,20
"F7",15,577
"GDI2",11639,10792
"PRDM1",483,747
"ATG5",1805,1704
"TMCC3",1816,854
"PITHD1",2394,1864
"MTA3",1831,3129
"USP13",2384,956
"ATP11B",4362,1598
"LAMC2",310,8002
"CDK14",1389,2769
"SEC61A1",12187,12678
"PPP1R12A",4111,4254
"RASGRF1",26,58
"CAMK2B",15,2910
"CROCC",1376,2119
"POLR3E",1566,4669
"ATP2B4",30927,6518
"ZC3H11A",4,11
"RIOK2",1199,967
"YIPF1",1173,2399
"NDC1",1153,1467
"DGKG",185,21
"FLYWCH1",1902,4363
"UNKL",944,1480
"TBXAS1",1761,681
"PARP12",1356,1577
"ALDH18A1",2546,5842
"TARBP1",1475,5368
"GATB",959,879
"MXD1",972,1316
"CDK17",1948,2335
"DNAJC25",449,453
"SLC2A3",2690,1614
"PSD",23,278
"CTDP1",1170,1930
"YBX3",10559,8556
"STYK1",11,322
"WNK1",24582,15953
"RPS17P5",1,0
"CCAR1",2568,4250
"OGFR",1716,2252
"GNA15",611,427
"CREB3L3",4,0
"PIGV",893,967
"PTPRU",1510,2432
"SNRNP40",1280,1533
"RIMBP2",62,15
"COL11A1",104,609
"QSER1",2421,3087
"MPC1",1591,1241
"ACAA1",2133,2982
"BCAT1",4434,271
"HDAC7",6620,8310
"LZTS1",235,856
"PRDM6",238,140
"WNT8A",0,2
"SPAG4",33,263
"NCKAP1",12623,9583
"MRPS35",1635,4780
"GUCY1B1",944,315
"SFSWAP",1969,3728
"TNK2",1728,7495
"MON2",3742,3792
"CDH3",6,6550
"ARSF",0,3
"GPBP1",4198,5233
"DGAT2",17392,404
"ZNF112",212,290
"CS",12702,7908
"LTK",12,32
"MRPS24",12,3
"ELMO2",2338,2354
"WAPL",3514,4122
"VMP1",4208,20761
"APPBP2",3476,2535
"POLD1",529,1139
"SEZ6",7,7
"EIF4B",17468,18973
"SLC6A16",183,94
"BICRA",553,1585
"SPHK2",454,992
"RPL18",11661,32889
"CA11",217,265
"ISOC2",1059,2416
"U2AF2",4591,10376
"EPN1",5183,7456
"MED29",2911,4088
"AHRR",2,35
"GSC2",0,0
"ZNF275",2043,1342
"MTMR1",1055,2654
"GPC1",4838,7576
"ADCK1",520,527
"HAGH",1794,2082
"RNF4",2795,4450
"CASP8",1370,1292
"LIMCH1",16174,5624
"INTS13",778,1031
"TM7SF3",2704,3719
"DLX3",32,182
"SPA17",74,389
"TSPAN32",41,79
"CCN5",12704,150
"DMRT3",318,14
"ST3GAL6",543,192
"ATP2C2",7,611
"NGFR",630,1532
"CDON",3468,1195
"TAF2",1644,1599
"HIPK2",13829,7671
"TNPO3",3676,3535
"BORCS8-MEF2B",0,2
"RFXANK",719,1379
"TMEM161A",777,1326
"LPAR2",138,1173
"CTSA",5747,3585
"SUGP2",3252,7954
"SLC12A2",1800,9592
"SNX24",661,749
"EYA2",707,601
"CNN2",3623,8844
"ABCA7",910,1599
"SNCAIP",594,187
"DDX20",852,1045
"BTBD1",3920,3586
"FAR2",842,533
"BCAS1",13,1129
"POU1F1",3,3
"CHI3L2",84,722
"SBNO2",2576,8931
"PMS1",730,1030
"HMG20B",1792,6862
"CALCRL",4436,1198
"TAF11",751,1102
"ANKS1A",3375,3391
"AP3D1",6979,9512
"ZNF76",1545,2798
"SLC9A3R2",4491,8948
"NTHL1",365,814
"UHRF1BP1",2823,1690
"GNAI3",4480,4528
"IPO5",11587,6366
"OAT",4594,10155
"WDR3",1856,2123
"PKN2",4008,3125
"WDR18",662,1806
"TRAM2",6670,2324
"NTN1",1478,1828
"GLP2R",465,3
"MCM10",97,190
"DGKA",795,2461
"ERBB3",144,25020
"ROPN1",0,60
"ANKRD44",1181,767
"KARS1",5314,4284
"ADAT1",911,1474
"PDIA5",770,1227
"TBC1D22B",688,998
"NDUFB4",2854,3835
"SPEN",8552,6256
"MYLK",8006,12796
"ZC3H15",2736,3358
"MAP2K4",1659,2691
"PACC1",282,582
"SNAP91",5,8
"SLK",8207,6070
"CYB5R4",1309,757
"COL17A1",16,11750
"GSTO2",93,2148
"SEC61A2",233,612
"PRKCQ",58,70
"TLE2",2392,2963
"ASB1",1922,1398
"FAM107B",10176,3208
"ME1",4788,200
"TBC1D1",3296,2311
"CDK13",2908,4222
"MTHFD2",899,2512
"SLC9A7",276,1906
"FOXJ2",2966,2051
"YBX1",21310,8282
"PDE4A",2400,502
"PPP2R5A",9082,5742
"CTNNA2",7,17
"ELAVL1",2654,4835
"TIE1",5040,1491
"DIP2B",2981,4225
"SMARCD1",2875,3972
"KDM4A",756,1230
"NFYC",1732,2163
"ZMYND12",79,113
"SLC9A3",25,94
"NGEF",119,210
"ASPM",130,437
"CD84",4551,515
"ELOVL1",4540,3570
"SPI1",2981,661
"POLR1H",184,350
"MPPED2",388,145
"CLDN18",31,19
"ZBTB11",1457,1416
"ATXN3",1451,1007
"GOLGA5",3154,3940
"FGFR2",257,1458
"LRRC40",764,850
"ISOC1",1544,2844
"EML1",2998,638
"TRMT11",496,735
"THUMPD1",2641,5177
"MSANTD3",514,611
