"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"ARHGAP31",58.6499,11.8545
"CENPQ",12.4572,9.8946
"SARS1",114.6449,144.6093
"RANBP3",27.5522,42.4641
"ARID4A",21.2868,16.895
"EIPR1",8.0033,20.3684
"PNPLA6",27.5436,38.1404
"IFT88",6.3559,19.1379
"ALG1",7.969,21.3943
"ZCCHC8",9.3409,15.9341
"ABCF2",8.2772,14.328
"CHPF2",37.9793,101.5673
"LRRC7",0.0656,0.1218
"FUT8",15.5991,56.3225
"UBA6",13.268,20.491
"GAB2",69.1837,21.1712
"ATP6V0A1",29.1225,32.5704
"PIAS1",17.7847,16.1628
"SLC4A7",12.594,76.549
"APBA2",0.5851,1.8711
"MAP2K3",58.2553,66.2032
"EFCAB1",0.2605,2.4069
"TMSB10",4231.8049,6708.1498
"ASTE1",9.2716,9.7669
"RNF19A",47.8811,82.0571
"PEX3",14.0946,22.2036
"GABARAPL2",99.7661,81.0125
"MYOC",142.6541,0
"SH3YL1",5.4292,30.4523
"FAM136A",20.1499,44.1364
"VCL",140.3793,115.045
"DEPDC1B",0.518,1.8292
"DAPK2",9.181,10.3997
"NSMAF",35.3843,20.5564
"ADSS2",37.7068,129.1763
"STAP1",0.5442,2.013
"TIMP2",790.5515,198.3029
"RFC1",39.9195,36.9963
"TBC1D23",38.0041,29.3669
"CUL3",19.0817,27.6806
"MYOM2",1.3004,0.8728
"OTC",1.9825,0
"CYP46A1",0.9967,0.7535
"ZZZ3",16.6346,22.9284
"SLC18A1",0,0
"USP2",3.3867,4.7953
"CASR",0.0063,0.0074
"TUBG2",28.5084,49.7891
"RPL26L1",20.6519,54.0598
"FLT4",18.7439,7.5422
"NSUN2",29.8867,55.0353
"FBXO42",14.6042,18.3486
"MFAP3",19.0189,13.3741
"MRI1",8.8828,28.3271
"METTL1",14.4109,42.4047
"HOXC8",20.6758,8.5674
"AGA",30.5367,50.7098
"PI4K2B",22.76,32.8685
"BOD1L1",25.2424,20.8876
"MAT2B",51.9234,54.9095
"TLL1",9.2159,1.8721
"EDC4",19.6497,38.4644
"TRIO",60.3517,48.2663
"VCAN",158.4378,60.0493
"CLEC16A",9.6039,25.402
"MSR1",91.9656,7.2095
"CDH1",0.0746,326.8971
"MTREX",42.056,44.9726
"DNAH5",0.4879,9.8764
"ZFYVE16",11.9599,11.726
"RIPOR1",42.0239,29.3276
"C6",30.2268,0.6799
"RAI14",12.2736,27.3738
"SOX30",0.1521,0.614
"PNKP",14.9996,54.5552
"BEST2",0.0287,0.0675
